,close,high,low,open,time
0,35.03,36.67,34.35,35.82,1512172800
1,36.61,39.6,34.84,35.13,1512259200
2,41.84,43.19,36.55,36.59,1512345600
3,38.43,42.82,38.25,41.86,1512432000
4,34.79,38.73,33.92,38.42,1512518400
5,34.02,36.87,31.75,34.78,1512604800
6,35.24,36.48,31.73,34.03,1512691200
7,35.12,38.11,33.82,35.23,1512777600
8,32.78,35.17,31.56,35.12,1512864000
9,35.6,36.2,32.76,32.76,1512950400
10,37.05,37.6,35.06,35.6,1513036800
