"time","timeDate","close","high","low","open","volumefrom","volumeto"
1473206400000,"2016-09-06",0.001,0.0024,0.000306,0.000306,33387.62,10.54
1473292800000,"2016-09-07",0.000929,0.001,0.000929,0.001,107.64,0.1
1473379200000,"2016-09-08",0.0009,0.000929,0.0004,0.000929,2822.47,2.15
1473465600000,"2016-09-09",0.00064,0.0009,0.0006,0.0009,1849.95,1.24
1473552000000,"2016-09-10",0.0006489,0.0006489,0.00064,0.00064,2000,1.28
1473638400000,"2016-09-11",0.00063,0.0006489,0.00063,0.0006489,2700,1.7
1473724800000,"2016-09-12",0.0006399,0.000648,0.00063,0.00063,1552,0.9947
1473811200000,"2016-09-13",0.00064,0.00064,0.0005,0.0006399,609.8,0.3889
1473897600000,"2016-09-14",0.0005,0.00064,0.0005,0.00064,379.68,0.2318
1473984000000,"2016-09-15",0.000649,0.000649,0.0005,0.0005,900,0.584
1474070400000,"2016-09-16",0.000649,0.000649,0.000649,0.000649,1709.75,1.11
1474156800000,"2016-09-17",0.000649,0.000649,0.000649,0.000649,470.58,0.3054
1474243200000,"2016-09-18",0.0005,0.00065,0.0005,0.000649,1399.74,0.8661
1474329600000,"2016-09-19",0.00063,0.00065,0.0005,0.0005,39,0.02475
1474416000000,"2016-09-20",0.00063,0.00063,0.00063,0.00063,100.39,0.06324
1474502400000,"2016-09-21",0.00063,0.00063,0.00063,0.00063,0,0
1474588800000,"2016-09-22",0.00063,0.00063,0.00063,0.00063,0,0
1474675200000,"2016-09-23",0.00063,0.00063,0.00063,0.00063,0,0
1474761600000,"2016-09-24",0.00065,0.00065,0.00063,0.00063,100,0.065
1474848000000,"2016-09-25",0.00065,0.00065,0.00065,0.00065,1,0.00065
1474934400000,"2016-09-26",0.00065,0.00065,0.00065,0.00065,0,0
1475020800000,"2016-09-27",0.00065,0.00065,0.00065,0.00065,0,0
1475107200000,"2016-09-28",0.00063,0.00065,0.00063,0.00065,4.99,0.003186
1475193600000,"2016-09-29",0.00063,0.00063,0.00063,0.00063,9.8,0.006176
1475280000000,"2016-09-30",0.00065,0.00065,0.00063,0.00063,200,0.13
1475366400000,"2016-10-01",0.00063,0.00065,0.00063,0.00065,9.8,0.006176
1475452800000,"2016-10-02",0.00063,0.00063,0.00063,0.00063,0,0
1475539200000,"2016-10-03",0.00063,0.00063,0.00063,0.00063,0,0
1475625600000,"2016-10-04",0.00065,0.00065,0.00063,0.00063,2310.77,1.5
1475712000000,"2016-10-05",0.00065,0.00065,0.00065,0.00065,0,0
1475798400000,"2016-10-06",0.00065,0.00065,0.00065,0.00065,0,0
1475884800000,"2016-10-07",0.00065,0.00065,0.00065,0.00065,0,0
1475971200000,"2016-10-08",0.00065,0.00065,0.00065,0.00065,245.32,0.1595
1476057600000,"2016-10-09",0.00065,0.00065,0.00065,0.00065,0,0
1476144000000,"2016-10-10",0.00065,0.00065,0.00065,0.00065,0,0
1476230400000,"2016-10-11",0.00065,0.00065,0.00065,0.00065,0,0
1476316800000,"2016-10-12",0.00065,0.00065,0.00065,0.00065,0,0
1476403200000,"2016-10-13",0.00065,0.00065,0.00065,0.00065,0,0
1476489600000,"2016-10-14",0.00065,0.00065,0.00065,0.00065,0,0
1476576000000,"2016-10-15",0.00065,0.00065,0.00065,0.00065,0,0
1476662400000,"2016-10-16",0.00065,0.00065,0.00065,0.00065,0,0
1476748800000,"2016-10-17",0.00059,0.00065,0.00059,0.00065,6764.79,4.06
1476835200000,"2016-10-18",0.00059,0.00059,0.00059,0.00059,0,0
1476921600000,"2016-10-19",0.0003,0.00059,0.0003,0.00059,10,0.003
1477008000000,"2016-10-20",0.00029,0.0003,0.000157,0.0003,116,0.02885
1477094400000,"2016-10-21",0.000152,0.00029,0.000152,0.00029,2304.99,0.3564
1477180800000,"2016-10-22",0.00017,0.00057,0.000152,0.000152,357.55,0.1563
1477267200000,"2016-10-23",0.000152,0.00049,0.000152,0.00017,580.28,0.1623
1477353600000,"2016-10-24",0.0001522,0.00049,0.000152,0.000152,2120.94,0.8407
1477440000000,"2016-10-25",0.0002451,0.0002733,0.0002112,0.0001522,41921.38,10.91
1477526400000,"2016-10-26",0.0001887,0.0002659,0.000183,0.0002451,254213.83,51.45
1477612800000,"2016-10-27",0.00023,0.00025,0.000177,0.0001887,191472.97,39.59
1477699200000,"2016-10-28",0.0002258,0.000246,0.00021,0.00023,195050.3,45.03
1477785600000,"2016-10-29",0.00026,0.000273,0.00022,0.0002258,140957.14,35.52
1477872000000,"2016-10-30",0.0003533,0.0003739,0.0002567,0.00026,338118.27,109.24
1477958400000,"2016-10-31",0.0002842,0.000353,0.0002512,0.0003533,220426.22,66.56
1478044800000,"2016-11-01",0.0002616,0.000299,0.00026,0.0002842,50010.14,13.49
1478131200000,"2016-11-02",0.000255,0.0002702,0.000217,0.0002616,92361.04,21.84
1478217600000,"2016-11-03",0.0002438,0.0002686,0.0002341,0.000255,19148.44,4.69
1478304000000,"2016-11-04",0.0002661,0.0002796,0.000234,0.0002438,25218.99,6.52
1478390400000,"2016-11-05",0.00024,0.0002785,0.00024,0.0002661,11350.91,2.94
1478476800000,"2016-11-06",0.00026,0.000268,0.00021,0.00024,109959.01,26.1
1478563200000,"2016-11-07",0.0002327,0.00026,0.00021,0.00026,79154.78,18.5
1478649600000,"2016-11-08",0.0002197,0.0002382,0.0002,0.0002327,28090.56,6.06
1478736000000,"2016-11-09",0.000237,0.000244,0.00021,0.0002197,38177.34,8.91
1478822400000,"2016-11-10",0.0002357,0.000276,0.0002271,0.000237,168115.65,41.98
1478908800000,"2016-11-11",0.0002521,0.00026,0.0002357,0.0002357,48702.53,12.09
1478995200000,"2016-11-12",0.0002453,0.000255,0.0002361,0.0002521,53717.35,13.17
1479081600000,"2016-11-13",0.00026,0.00027,0.0002389,0.0002453,138107.66,35.17
1479168000000,"2016-11-14",0.0002493,0.00027,0.00024,0.00026,52596.49,13.22
1479254400000,"2016-11-15",0.0002199,0.000249,0.0001701,0.0002493,136191.54,30.3
1479340800000,"2016-11-16",0.0002353,0.0002383,0.0002175,0.0002199,54848.98,12.64
1479427200000,"2016-11-17",0.0002213,0.0002417,0.0002049,0.0002353,78563.07,17.24
1479513600000,"2016-11-18",0.0002172,0.0002261,0.0002143,0.0002213,5479.37,1.22
1479600000000,"2016-11-19",0.0002311,0.000235,0.0002145,0.0002172,30436.67,6.77
1479686400000,"2016-11-20",0.000231,0.000233,0.000227,0.0002311,12701.58,2.95
1479772800000,"2016-11-21",0.0002108,0.0002329,0.00021,0.000231,36396.09,8.01
1479859200000,"2016-11-22",0.000215,0.0002253,0.0002121,0.0002108,29416.13,6.33
1479945600000,"2016-11-23",0.0002255,0.0002379,0.000206,0.000215,33813,7.61
1480032000000,"2016-11-24",0.000229,0.0002412,0.00022,0.0002255,105052.44,24.26
1480118400000,"2016-11-25",0.0002279,0.0002476,0.0002279,0.000229,38024.96,8.91
1480204800000,"2016-11-26",0.000229,0.0002414,0.0002279,0.0002279,38356.24,8.95
1480291200000,"2016-11-27",0.0002258,0.000233,0.000222,0.000229,30143.45,6.84
1480377600000,"2016-11-28",0.0001992,0.0002258,0.000185,0.0002258,85791.7,17.39
1480464000000,"2016-11-29",0.000192,0.0002,0.0001865,0.0001992,42971.1,8.3
1480550400000,"2016-11-30",0.0001801,0.000192,0.0001767,0.000192,106418.3,19.51
1480636800000,"2016-12-01",0.0001756,0.0001799,0.000172,0.0001801,128796.48,22.62
1480723200000,"2016-12-02",0.0001855,0.0001891,0.0001748,0.0001756,70666.64,12.74
1480809600000,"2016-12-03",0.0001876,0.0001935,0.0001843,0.0001855,38930.32,7.36
1480896000000,"2016-12-04",0.0001825,0.0001876,0.000182,0.0001876,37211.07,6.86
1480982400000,"2016-12-05",0.0001766,0.0001834,0.000175,0.0001825,63292.99,11.21
1481068800000,"2016-12-06",0.0001794,0.0001829,0.0001756,0.0001766,26706.26,4.8
1481155200000,"2016-12-07",0.0001778,0.0001799,0.0001778,0.0001794,13591.49,2.43
1481241600000,"2016-12-08",0.0001704,0.0001785,0.0001678,0.0001778,63148.33,10.91
1481328000000,"2016-12-09",0.0001659,0.0001678,0.0001633,0.0001704,41496.46,6.87
1481414400000,"2016-12-10",0.0001594,0.0001633,0.0001588,0.0001659,20319.88,3.27
1481500800000,"2016-12-11",0.0001645,0.000167,0.0001612,0.0001594,42719.55,7.03
1481587200000,"2016-12-12",0.0001559,0.0001812,0.0001559,0.0001645,39142.14,6.21
1481673600000,"2016-12-13",0.0001534,0.0001615,0.0001522,0.0001559,61750.52,9.59
1481760000000,"2016-12-14",0.0001755,0.0001786,0.0001421,0.0001534,20011.13,2.97
1481846400000,"2016-12-15",0.000141,0.0001499,0.000141,0.0001755,45547.7,6.62
1481932800000,"2016-12-16",0.00013,0.0001442,0.0001259,0.000141,6480.74,0.8905
1482019200000,"2016-12-17",0.00014,0.000146,0.0001269,0.00013,22654.34,2.95
1482105600000,"2016-12-18",0.000138,0.0001486,0.0001255,0.00014,23554.06,3.14
1482192000000,"2016-12-19",0.0001496,0.0001496,0.000135,0.000138,51366.9,7.38
1482278400000,"2016-12-20",0.0001964,0.0001964,0.0001496,0.0001496,43023.09,7.38
1482364800000,"2016-12-21",0.0001701,0.000225,0.00017,0.0001964,34659.42,6.57
1482451200000,"2016-12-22",0.0001215,0.0001765,0.0001215,0.0001701,47356.26,7.01
1482537600000,"2016-12-23",0.0001453,0.0001541,0.0001213,0.0001215,5963.24,0.8784
1482624000000,"2016-12-24",0.0001526,0.0001699,0.000145,0.0001453,5456.68,0.8465
1482710400000,"2016-12-25",0.0001807,0.00019,0.0001531,0.0001526,16191.77,2.88
1482796800000,"2016-12-26",0.0001768,0.0001807,0.00016,0.0001807,6143.95,1.04
1482883200000,"2016-12-27",0.00015,0.0001768,0.0001418,0.0001768,7521.78,1.09
1482969600000,"2016-12-28",0.0001423,0.0001624,0.0001401,0.00015,30425.08,4.55
1483056000000,"2016-12-29",0.0001511,0.0001511,0.0001401,0.0001423,6676.19,0.9598
1483142400000,"2016-12-30",0.0001402,0.0001493,0.0001402,0.0001511,1053.25,0.1485
1483228800000,"2016-12-31",0.0001387,0.0001653,0.0001373,0.0001402,158.21,0.02192
1483315200000,"2017-01-01",0.0001483,0.0001798,0.00014,0.0001387,17502.08,2.62
1483401600000,"2017-01-02",0.000134,0.0001483,0.000134,0.0001483,40860.45,5.67
